date,cases,deaths,hospital,icu,germany_cases,germany_deaths,italy_cases,italy_deaths,china_cases,china_deaths,s_korea_cases,s_korea_deaths
2020-01-22,0,0,,,0,0,0,0,548,17,1,0
2020-01-23,0,0,,,0,0,0,0,643,18,1,0
2020-01-24,0,0,,,0,0,0,0,920,26,2,0
2020-01-25,0,0,,,0,0,0,0,1406,42,2,0
2020-01-26,0,0,,,0,0,0,0,2075,56,3,0
2020-01-27,0,0,,,1,0,0,0,2877,82,4,0
2020-01-28,0,0,,,4,0,0,0,5509,131,4,0
2020-01-29,0,0,,,4,0,0,0,6087,133,4,0
2020-01-30,0,0,,,5,0,0,0,8141,171,4,0
2020-01-31,0,0,,,7,0,2,0,9802,213,11,0
2020-02-01,0,0,,,8,0,2,0,11891,259,12,0
2020-02-02,0,0,,,10,0,2,0,16630,361,15,0
2020-02-03,0,0,,,12,0,2,0,19716,425,15,0
2020-02-04,0,0,,,12,0,2,0,23707,491,16,0
2020-02-05,0,0,,,12,0,2,0,27440,563,19,0
2020-02-06,0,0,,,13,0,2,0,30587,633,23,0
2020-02-07,0,0,,,14,0,3,0,34110,718,24,0
2020-02-08,0,0,,,14,0,3,0,36814,805,24,0
2020-02-09,0,0,,,14,0,3,0,39829,905,25,0
2020-02-10,0,0,,,14,0,3,0,42354,1012,27,0
2020-02-11,0,0,,,16,0,3,0,44386,1112,28,0
2020-02-12,0,0,,,16,0,3,0,44759,1117,28,0
2020-02-13,0,0,,,16,0,3,0,59895,1369,28,0
2020-02-14,0,0,,,16,0,3,0,66358,1521,28,0
2020-02-15,0,0,,,16,0,3,0,68413,1663,28,0
2020-02-16,0,0,,,16,0,3,0,70513,1766,29,0
2020-02-17,0,0,,,16,0,3,0,72434,1864,30,0
2020-02-18,0,0,,,16,0,3,0,74211,2003,31,0
2020-02-19,0,0,,,16,0,3,0,74619,2116,31,0
2020-02-20,0,0,,,16,0,3,0,75077,2238,104,1
2020-02-21,0,0,,,16,0,20,1,75550,2238,204,2
2020-02-22,0,0,,,16,0,62,2,77001,2443,433,2
2020-02-23,0,0,,,16,0,155,3,77022,2445,602,6
2020-02-24,0,0,,,16,0,229,7,77241,2595,833,8
2020-02-25,0,0,,,18,0,322,10,77754,2665,977,10
2020-02-26,0,0,,,26,0,453,12,78166,2717,1261,12
2020-02-27,0,0,,,48,0,655,17,78600,2746,1766,13
2020-02-28,0,0,,,75,0,888,21,78928,2790,2337,13
2020-02-29,0,0,,,119,0,1128,29,79356,2837,3150,16
2020-03-01,1,0,,,140,0,1694,34,79932,2872,3736,17
2020-03-02,1,0,,,181,0,2036,52,80136,2914,4335,28
2020-03-03,6,0,,,219,0,2502,79,80261,2947,5186,28
2020-03-04,7,0,,,376,0,3089,107,80386,2983,5621,35
2020-03-05,13,0,,,576,0,3858,148,80537,3015,6088,35
2020-03-06,19,0,,,716,0,4636,197,80690,3044,6593,42
2020-03-07,28,0,3,0,917,0,5883,233,80770,3072,7041,44
2020-03-08,40,0,4,0,1085,0,7375,366,80823,3100,7314,50
2020-03-09,48,0,3,0,1236,2,9172,463,80860,3123,7478,53
2020-03-10,58,0,4,0,1602,2,10149,631,80887,3139,7513,54
2020-03-11,81,0,5,0,1955,3,12462,827,80921,3161,7755,60
2020-03-12,118,0,5,0,2722,6,12462,827,80932,3172,7869,66
2020-03-13,158,0,8,0,3640,8,17660,1266,80945,3180,7979,66
2020-03-14,263,0,15,0,4500,8,21157,1441,80977,3193,8086,72
2020-03-15,283,0,16,0,5813,13,24747,1809,81003,3203,8162,75
2020-03-16,332,0,20,3,7260,17,27980,2158,81033,3217,8236,75
2020-03-17,383,0,21,4,9348,25,31506,2503,81058,3230,8320,81
2020-03-18,519,0,28,9,12223,31,35713,2978,81102,3241,8413,84
2020-03-19,688,0,43,15,15240,44,41035,3405,81156,3249,8565,91
2020-03-20,868,1,44,18,19712,64,47021,4032,81251,3253,8652,94
2020-03-21,1025,1,39,14,22101,81,53578,4825,81305,3259,8799,102
2020-03-22,1077,2,41,20,24273,92,59138,5476,,,8897,104
2020-03-23,1219,2,47,22,27897,115,63927,6077,,,,
2020-03-24,1425,3,112,26,33856,148,69176,6820,,,,
2020-03-25,1645,4,208,38,37323,206,74386,7503,,,,
2020-03-26,1937,8,235,46,41255,267,80589,8215,,,,
2020-03-27,2152,8,261,53,47373,342,86498,9134,,,,
2020-03-28,2337,11,300,64,53340,433,92472,10023,,,,
2020-03-29,2462,13,312,70,58146,533,97969,10779,,,,
2020-03-30,2581,13,381,84,62440,645,101739,11591,,,,
2020-03-31,2777,15,380,92,66751,775,105792,12428,,,,
2020-04-01,2993,17,479,104,71583,920,110574,13155,,,,
2020-04-02,3223,20,458,116,77580,1107,115242,13915,,,,
2020-04-03,3486,22,473,124,84322,1275,119827,14681,,,,
2020-04-04,3626,24,502,127,90596,1444,124632,15362,,,,
2020-04-05,3687,26,507,126,95558,,,,,,,
2020-04-06,3862,28,527,133,,,,,,,,
2020-04-07,4038,32,505,118,,,,,,,,
2020-04-08,4212,37,546,126,,,,,,,,
2020-04-09,4357,42,559,136,"","","","","","","",""
2020-04-10,4446,46,615,143,,,,,,,,
2020-04-11,4553,50,601,139,,,,,,,,
2020-04-12,4583,51,566,133,,,,,,,,
2020-04-13,4667,56,568,141,,,,,,,,
2020-04-14,4726,62,582,137,,,,,,,,
2020-04-15,4870,74,599,128,,,,,,,,
2020-04-16,4971,84,602,142,,,,,,,,
2020-04-17,5019,91,585,146,,,,,,,,
2020-04-18,5187,92,592,152,,,,,,,,
