date,cases,deaths,location,hospitalized,tests,pctPositive,total dead
3/1/2020,0,,skokie,,,,
3/2/2020,0,,skokie,,,,
3/3/2020,0,,skokie,,,,
3/4/2020,0,,skokie,,,,
3/5/2020,0,,skokie,,,,
3/6/2020,0,,skokie,,,,
3/7/2020,0,,skokie,,,,
3/8/2020,0,,skokie,1,,,
3/9/2020,0,,skokie,,,,
3/10/2020,0,,skokie,,,,
3/11/2020,0,,skokie,,,,
3/12/2020,0,,skokie,,,,
3/13/2020,0,,skokie,,,,
3/14/2020,1,,skokie,,,,
3/15/2020,0,,skokie,4,86,0.17,
3/16/2020,0,,skokie,,,,
3/17/2020,1,,skokie,,,,
3/18/2020,0,,skokie,,,,
3/19/2020,4,,skokie,,,,
3/20/2020,7,,skokie,,,,
3/21/2020,2,,skokie,,,,
3/22/2020,5,,skokie,17,255,0.24,
3/23/2020,4,,skokie,,,,
3/24/2020,9,,skokie,,,,
3/25/2020,12,,skokie,,,,
3/26/2020,9,,skokie,,,,
3/27/2020,4,,skokie,,,,
3/28/2020,10,,skokie,,,,
3/29/2020,8,,skokie,24,339,0.22,
3/30/2020,5,,skokie,,,,
3/31/2020,5,,skokie,,,,
4/1/2020,12,,skokie,,,,
4/2/2020,10,,skokie,,,,
4/3/2020,15,,skokie,,,,
4/4/2020,15,,skokie,,,,
4/5/2020,4,,skokie,11,345,0.27,
4/6/2020,12,,skokie,,,,
4/7/2020,14,,skokie,,,,
4/8/2020,13,,skokie,,,,
4/9/2020,19,,skokie,,,,
4/10/2020,14,,skokie,,,,
4/11/2020,16,,skokie,,,,
4/12/2020,16,,skokie,12,315,0.26,
4/13/2020,9,,skokie,,,,
4/14/2020,8,,skokie,,,,
4/15/2020,13,,skokie,,,,
4/16/2020,10,,skokie,,,,
4/17/2020,18,,skokie,,,,
4/18/2020,15,,skokie,,,,
4/19/2020,5,,skokie,8,415,0.19,
4/20/2020,6,,skokie,,,,
4/21/2020,11,,skokie,,,,
4/22/2020,14,,skokie,,,,
4/23/2020,11,,skokie,,,,
4/24/2020,11,,skokie,,,,
4/25/2020,26,,skokie,,,,
4/26/2020,11,,skokie,9,471,0.21,
4/27/2020,11,,skokie,,,,
4/28/2020,10,,skokie,,,,
4/29/2020,6,,skokie,,,,
4/30/2020,12,,skokie,,,,
5/1/2020,19,,skokie,,,,
5/2/2020,15,,skokie,,,,
5/3/2020,15,,skokie,7,525,0.14,
5/4/2020,18,,skokie,,,,
5/5/2020,3,,skokie,,,,
5/6/2020,16,,skokie,,,,
5/7/2020,10,,skokie,,,,
5/8/2020,17,,skokie,,,,
5/9/2020,11,,skokie,,,,
5/10/2020,9,,skokie,7,691,0.12,
5/11/2020,6,,skokie,,,,
5/12/2020,20,,skokie,,,,
5/13/2020,7,,skokie,,,,
5/14/2020,14,,skokie,,,,
5/15/2020,13,,skokie,,,,
5/16/2020,17,,skokie,,,,
5/17/2020,19,,skokie,6,801,0.14,
5/18/2020,16,,skokie,,,,
5/19/2020,12,,skokie,,,,
5/20/2020,12,,skokie,,,,
5/21/2020,16,,skokie,,,,
5/22/2020,20,,skokie,,,,
5/23/2020,14,,skokie,,,,
5/24/2020,14,,skokie,4,730,0.07,
5/25/2020,9,,skokie,,,,
5/26/2020,5,,skokie,,,,
5/27/2020,5,,skokie,,,,
5/28/2020,11,,skokie,,,,
5/29/2020,9,,skokie,,,,
5/30/2020,7,,skokie,,,,
5/31/2020,6,,skokie,3,743,0.04,
6/1/2020,2,,skokie,,,,
6/2/2020,5,,skokie,,,,28
6/3/2020,5,,skokie,,,,
6/4/2020,8,,skokie,,,,
6/5/2020,2,,skokie,,,,
6/6/2020,8,,skokie,,,,
6/7/2020,1,,skokie,2,861,0.03,
6/8/2020,4,,skokie,,,,
6/9/2020,7,,skokie,,,,30
6/10/2020,2,,skokie,,,,
6/11/2020,5,,skokie,,,,
6/12/2020,4,,skokie,,,,30
6/13/2020,5,,skokie,,839,0.04,
6/14/2020,3,,skokie,2,,,
6/15/2020,2,,skokie,,,,
6/16/2020,8,,skokie,,,,31
6/17/2020,5,,skokie,,,,
6/18/2020,6,,skokie,,,,
6/19/2020,4,,skokie,,,,
6/20/2020,5,,skokie,,,,
