date,cases,deaths,hospitalized,tests,pctPositive,total dead
2020-03-01,0,,,,,
2020-03-02,0,,,,,
2020-03-03,0,,,,,
2020-03-04,0,,,,,
2020-03-05,0,,,,,
2020-03-06,0,,,,,
2020-03-07,0,,,,,
2020-03-08,0,,1,,,
2020-03-09,0,,,,,
2020-03-10,0,,,,,
2020-03-11,0,,,,,
2020-03-12,0,,,,,
2020-03-13,0,,,,,
2020-03-14,1,,,,,
2020-03-15,0,,4,86,0.17,
2020-03-16,0,,,,,
2020-03-17,1,,,,,
2020-03-18,0,,,,,
2020-03-19,4,,,,,
2020-03-20,7,,,,,
2020-03-21,2,,,,,
2020-03-22,5,,17,255,0.24,
2020-03-23,4,,,,,
2020-03-24,9,,,,,
2020-03-25,12,,,,,
2020-03-26,9,,,,,
2020-03-27,4,,,,,
2020-03-28,10,,,,,
2020-03-29,8,,24,339,0.22,
2020-03-30,5,,,,,
2020-03-31,5,,,,,
2020-04-01,12,,,,,
2020-04-02,10,,,,,
2020-04-03,15,,,,,
2020-04-04,15,,,,,
2020-04-05,4,,11,345,0.27,
2020-04-06,12,,,,,
2020-04-07,14,,,,,
2020-04-08,13,,,,,
2020-04-09,19,,,,,
2020-04-10,14,,,,,
2020-04-11,16,,,,,
2020-04-12,16,,12,315,0.26,
2020-04-13,9,,,,,
2020-04-14,8,,,,,
2020-04-15,13,,,,,
2020-04-16,10,,,,,
2020-04-17,18,,,,,
2020-04-18,15,,,,,
2020-04-19,5,,8,415,0.19,
2020-04-20,6,,,,,
2020-04-21,11,,,,,
2020-04-22,14,,,,,
2020-04-23,11,,,,,
2020-04-24,11,,,,,
2020-04-25,26,,,,,
2020-04-26,11,,9,471,0.21,
2020-04-27,11,,,,,
2020-04-28,10,,,,,
2020-04-29,6,,,,,
2020-04-30,12,,,,,
2020-05-1,19,,,,,
2020-05-2,15,,,,,
2020-05-3,15,,7,525,0.14,
2020-05-04,18,,,,,
2020-05-05,3,,,,,
2020-05-06,16,,,,,
2020-05-07,10,,,,,
2020-05-08,17,,,,,
2020-05-09,11,,,,,
2020-05-10,9,,7,691,0.12,
2020-05-11,6,,,,,
2020-05-12,20,,,,,
2020-05-13,7,,,,,
2020-05-14,14,,,,,
2020-05-15,13,,,,,
2020-05-16,17,,,,,
2020-05-17,19,,6,801,0.14,
2020-05-18,16,,,,,
2020-05-19,12,,,,,
2020-05-20,12,,,,,
2020-05-21,16,,,,,
2020-05-22,20,,,,,
2020-05-23,14,,,,,
2020-05-24,14,,4,730,0.07,
2020-05-25,9,,,,,
2020-05-26,5,,,,,
2020-05-27,5,,,,,
2020-05-28,11,,,,,
2020-05-29,9,,,,,
2020-05-30,7,,,,,
2020-05-31,6,,3,743,0.04,
2020-06-1,2,,,,,
2020-06-2,5,,,,,28
2020-06-3,5,,,,,
2020-06-04,8,,,,,
2020-06-05,2,,,,,
2020-06-06,8,,,,,
2020-06-07,1,,2,861,0.03,
2020-06-08,4,,,,,
2020-06-09,7,,,,,30
2020-06-10,2,,,,,
2020-06-11,5,,,,,
2020-06-12,4,,,,,30
2020-06-13,5,,,839,0.04,
2020-06-14,3,,2,,,
2020-06-15,2,,,,,
2020-06-16,8,,,,,31
2020-06-17,5,,,,,
2020-06-18,6,,,,,
2020-06-19,4,,,,,
2020-06-20,5,,,,,
2020-06-21,10,,0,949,0.03,
2020-06-22,3,,,,,
2020-06-23,4,,,,,33
2020-06-24,7,,,,,
2020-06-25,4,,,,,
2020-06-26,4,,,,,
2020-06-27,3,,,,,
2020-06-28,1,,0,965,0.03,
2020-06-29,2,,,,,
2020-06-30,6,,,,,33
2020-07-1,2,,,,,
2020-07-2,11,,,,,
2020-07-3,4,,,,,
2020-07-04,3,,,,,
2020-07-05,0,,3,865,0.05,
2020-07-06,3,,,,,
2020-07-07,6,,,,,
2020-07-08,9,,,,,
2020-07-09,5,,,,,
2020-07-10,10,,,,,
2020-07-11,6,,,,,
2020-07-12,2,,3,1001,0.02,
2020-07-13,4,,,,,
2020-07-14,4,,,,,34
2020-07-15,5,,,,,
2020-07-16,3,,,,,
2020-07-17,3,,,,,
2020-07-18,1,,,,,
2020-07-19,3,,3,1027,0.04,
2020-07-20,2,,,,,
2020-07-21,7,,,,,35
2020-07-22,6,,,,,
2020-07-23,7,,,,,
2020-07-24,6,,,,,
2020-07-25,7,,,,,
2020-07-26,5,,1,870,0.03,
2020-07-27,3,,,,,
2020-07-28,5,,,,,
2020-07-29,3,,,,,
2020-07-30,4,,,,,36
2020-07-31,2,,,,,
2020-08-1,9,,,,,
2020-08-2,4,,3,1123,0.04,
2020-08-3,1,,,,,
2020-08-04,4,,,,,
2020-08-05,10,,,,,
2020-08-06,5,,,,,
2020-08-07,9,,,,,
2020-08-08,11,,,,,
2020-08-09,7,,2,1126,0.04,
2020-08-10,7,,,,,
2020-08-11,4,,,,,
2020-08-12,5,,,,,
2020-08-13,8,,,,,
2020-08-14,14,,,,,
2020-08-15,7,,,,,
2020-08-16,6,,,,,
2020-08-17,8,,,,,
2020-08-18,5,,,,,
2020-08-19,5,,,,,
2020-08-20,4,,,,,
2020-08-21,4,,,,,
2020-08-22,8,,,,,
2020-08-23,11,,,,,
2020-08-24,9,,,,,
2020-08-25,3,,,,,
